Accuracy,e_accuracy_scores,t_accuracy_scores,c_accuracy_scores,,,
0.815140947,0.440310956,0.642330718,0.555024702,,,
0.81761116,0.451790177,0.629253124,0.570572508,,,
0.817465853,0.442635862,0.632885789,0.552263877,,,
0.819064226,0.442635862,0.624893926,0.556187155,,,
0.818047079,0.444088928,0.635356001,0.556187155,,,/Users/zhenghongtao/opt/anaconda3/python.app/Contents/MacOS/python /Users/zhenghongtao/Desktop/pythonProject1/feature_ttest.py
0.815722174,0.446268527,0.635210695,0.545579773,,,Column: e_accuracy_scores
0.819500145,0.452807323,0.63157803,0.561272886,,,Mean: 0.44326794540000003
0.814123801,0.435370532,0.630996803,0.547904679,,,Standard deviation: 0.0053919836179865364
0.81761116,0.441182796,0.630415577,0.551246731,,,T-statistic: 320.4472238175331
0.813542575,0.443798314,0.63840744,0.555605929,,,P-value: 6.236055455560254e-37
0.814995641,0.434643999,0.639715199,0.557640221,,,
0.81761116,0.441182796,0.630415577,0.551246731,,,Column: t_accuracy_scores
0.812816042,0.443798314,0.629689044,0.557494914,,,Mean: 0.6345640802
0.812525429,0.443362395,0.638552746,0.55168265,,,Standard deviation: 0.0049830841669054205
0.817320546,0.444088928,0.634338855,0.553862249,,,T-statistic: 138.78969787547993
0.814850334,0.450918338,0.628526591,0.561418192,,,P-value: 4.9699206624739915e-30
0.819645452,0.450773031,0.637680907,0.550665504,,,
0.813542575,0.437695437,0.640296425,0.549938971,,,Column: c_accuracy_scores
0.818628306,0.434498692,0.641458878,0.552699797,,,Mean: 0.5541819239000001
0.819645452,0.443507701,0.639279279,0.545143854,,,Standard deviation: 0.005893450906247039
0.816470503,,,,,,T-statistic: 185.98373761249667
0.0023789,,,,,,P-value: 1.9179111459256617e-32