1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0.202731764,0.350842778,0.407236269,0.435919791,0.450023249,0.696018599,0.63789596,0.646904969,0.745742517,0.727922116,0.73335077,0.75607091,0.764908457,0.781182796,0.807192677,0.809226969,0.809517582,0.812714327,0.779569892,0.795565243,0.801522813,0.80853531,0.809869224,0.818785237,0.81652136,0.817752107,0.823123801
0.202295844,0.359706481,0.415228131,0.467887242,0.456416739,0.68657367,0.636442895,0.642691078,0.751700087,0.728358035,0.730008718,0.738343505,0.746745132,0.769994188,0.801816332,0.804286545,0.805448997,0.814458006,0.769979657,0.787863993,0.794693403,0.799671607,0.799261842,0.801784365,0.819282185,0.815717815,0.826029933
0.205492589,0.355783203,0.415373438,0.463818657,0.457579192,0.679308341,0.636442895,0.641528625,0.755478059,0.736204592,0.735820982,0.746190061,0.757207207,0.780601569,0.805158384,0.805013078,0.807773903,0.815620459,0.777680907,0.788445219,0.803557105,0.80853531,0.808852078,0.814135426,0.819282185,0.822401918,0.826465853
0.200988085,0.352005231,0.406945655,0.435919791,0.453510607,0.659177565,0.626126126,0.63963964,0.757221738,0.737657658,0.737564661,0.750694566,0.762002325,0.777695437,0.809662889,0.808500436,0.811261261,0.811842488,0.774920081,0.78713746,0.80079628,0.799671607,0.798244696,0.801203139,0.816666667,0.817170881,0.824140947
0.203022377,0.349970939,0.406073816,0.444995641,0.446971811,0.650247021,0.629177565,0.638913107,0.753879686,0.735768672,0.737274048,0.755344377,0.764617844,0.783217088,0.807628596,0.808209823,0.811551874,0.815911072,0.778843359,0.783068875,0.795274629,0.788047079,0.789816914,0.790741064,0.821316478,0.817897414,0.825884627
0.203603604,0.354475443,0.41188608,0.44405696,0.453801221,0.645887823,0.628886951,0.638622493,0.745742517,0.726759663,0.727974426,0.739651264,0.751830863,0.774498692,0.807192677,0.805884917,0.811697181,0.815039233,0.775501308,0.792659111,0.803411799,0.801124673,0.797082244,0.79858762,0.822188317,0.817170881,0.8253034
0.205783203,0.352441151,0.410433014,0.448125545,0.4555449,0.665504214,0.633536763,0.639494333,0.747340889,0.726614356,0.728991572,0.749677419,0.760694566,0.778276664,0.810680035,0.808936356,0.814893926,0.820851497,0.780587039,0.779581517,0.788299913,0.78761116,0.784295263,0.789287998,0.819136879,0.816880267,0.825012787
0.204911363,0.357381575,0.41871549,0.483580355,0.460485324,0.694565533,0.639784946,0.643998838,0.75242662,0.73373438,0.734077303,0.755925603,0.765344377,0.789029352,0.816928219,0.816056379,0.822304563,0.822304563,0.77709968,0.786410927,0.799488521,0.798073235,0.792723046,0.799314153,0.815940134,0.817752107,0.826029933
0.206219122,0.356073816,0.413193839,0.458006393,0.455254287,0.67422261,0.634117989,0.640802092,0.754315606,0.736059285,0.741342633,0.749968033,0.762728858,0.777259518,0.803560012,0.802397559,0.80617553,0.812423714,0.771868643,0.792077884,0.799779134,0.809116536,0.807689625,0.799895379,0.818555652,0.815717815,0.827192386
0.208834641,0.357090962,0.412321999,0.451612903,0.458596338,0.680761407,0.635571055,0.642691078,0.757221738,0.738384191,0.735675676,0.749677419,0.760258646,0.77972973,0.803124092,0.803850625,0.803269398,0.807628596,0.764893926,0.78117989,0.797599535,0.803158965,0.797808777,0.80498111,0.820154025,0.81847864,0.827918919
0.201133391,0.354766056,0.412903226,0.460331299,0.457724499,0.703626853,0.644434757,0.650247021,0.748212729,0.728358035,0.732333624,0.749532113,0.759096193,0.776968904,0.802542865,0.802833479,0.804431851,0.811697181,0.772740482,0.785103168,0.796291776,0.805629178,0.799261842,0.809630921,0.81564952,0.816880267,0.827482999
0.204330137,0.349389712,0.410868933,0.446381866,0.451912235,0.664051148,0.63193839,0.638622493,0.740656786,0.722981691,0.726666667,0.740523104,0.746599826,0.763600697,0.797021215,0.796004069,0.798619587,0.808645743,0.768817204,0.788590526,0.799197908,0.794149956,0.79039814,0.795245568,0.820008718,0.813828829,0.822251962
0.204766056,0.351859924,0.4101424,0.445219413,0.459032258,0.704010462,0.640366173,0.650537634,0.752281314,0.734460913,0.735094449,0.749968033,0.760985179,0.778131357,0.812423714,0.809081662,0.813295554,0.817218832,0.779424586,0.790043592,0.797454228,0.802577739,0.803766347,0.805998256,0.824367916,0.819786399,0.822687881
0.20505667,0.36145016,0.414356292,0.459750073,0.456707353,0.662598082,0.632955536,0.640656786,0.759110724,0.739110724,0.734658529,0.747207207,0.756916594,0.777840744,0.816056379,0.81474862,0.815475153,0.820415577,0.784219704,0.791641965,0.802830573,0.799235687,0.79722755,0.803237431,0.827709968,0.816880267,0.821816042
0.204330137,0.350842778,0.407817495,0.441150828,0.457579192,0.680034874,0.636152281,0.648067422,0.755768672,0.736495205,0.735820982,0.742848009,0.756044754,0.779148503,0.809081662,0.806902063,0.810389422,0.814603313,0.772595176,0.786410927,0.792659111,0.803740192,0.79722755,0.800185992,0.813469922,0.814119442,0.826029933
0.207236269,0.359561174,0.410868933,0.44405696,0.460194711,0.68148794,0.635861668,0.637605347,0.757802964,0.737512351,0.728119733,0.749968033,0.763600697,0.77929381,0.807192677,0.806030224,0.809226969,0.813150247,0.773321709,0.786120314,0.802539959,0.807082244,0.807399012,0.817768091,0.814196455,0.820077012,0.828209532
0.207672188,0.354911363,0.415082825,0.451612903,0.457433885,0.660418483,0.632664923,0.642109852,0.754024993,0.735332752,0.736402209,0.753019471,0.762583551,0.778131357,0.80617553,0.806030224,0.811406568,0.811406568,0.770996803,0.788445219,0.803702412,0.799816914,0.802022668,0.803963964,0.812743389,0.817461494,0.822833188
0.208834641,0.351569311,0.413920372,0.453356582,0.451185702,0.655716362,0.629468178,0.633536763,0.74646905,0.726759663,0.730154025,0.751130485,0.759968033,0.771883173,0.80661145,0.805884917,0.804722464,0.808936356,0.773176402,0.787282767,0.800215054,0.800688753,0.800714908,0.801784365,0.812162162,0.814119442,0.823995641
0.201714618,0.354911363,0.411159547,0.448706771,0.454818367,0.684394071,0.637750654,0.644870677,0.752571927,0.729665795,0.731171171,0.73514676,0.748198198,0.767959895,0.797311828,0.797747748,0.802106946,0.809372276,0.768671898,0.785103168,0.791496658,0.792987504,0.79039814,0.795972101,0.814196455,0.815427201,0.823705028
0.202295844,0.35374891,0.414937518,0.466143563,0.460921244,0.705463528,0.641819239,0.648067422,0.754024993,0.73373438,0.735820982,0.747207207,0.760403952,0.775515838,0.79382447,0.794260389,0.803269398,0.802542865,0.769253124,0.782778262,0.798761988,0.802287126,0.80449288,0.803818657,0.825385062,0.817170881,0.82661116